prediction,actual,error,mse
1.0013194267306933,5.0,3.998680573269307,15.989446327041353
1.0005287470410227,3.0,1.9994712529589773,3.9978852914093426
0.9998652623767729,2.0,1.000134737623227,1.000269493400681
0.9997155431113763,1.0,0.00028445688862366314,8.09157214854551e-08
1.0011478136919874,4.0,2.998852186308013,8.99311443532435
1.0006068419166168,4.0,2.9993931580833832,8.996359316757411
1.0000394241828634,3.0,1.9999605758171366,3.9998423048228124
1.0007209803170742,4.0,2.999279019682926,8.995674637910174
1.0002465790830648,4.0,2.999753420916935,8.998520586302856
1.0009255474460168,5.0,3.999074452553983,15.992596477069938
1.0009137235238614,5.0,3.9990862764761386,15.992691046699786
0.9998303489140397,1.0,0.00016965108596034284,2.8781490967523634e-08
0.9991676473361575,1.0,0.0008323526638425172,6.928109570057344e-07
1.000921122992272,5.0,3.9990788770077277,15.992631864529388
0.9994347445052544,1.0,0.0005652554947456201,3.195137743401157e-07
1.0028973818587748,4.0,2.9971026181412252,8.982624103668988
1.0006631583915766,4.0,2.9993368416084234,8.996021489429593
1.0005913115134997,4.0,2.9994086884865006,8.99645248056831
1.0010901090179352,5.0,3.998909890982065,15.99128031619419
1.001846098946564,5.0,3.9981539010534357,15.985234616508807
1.0004217100969781,4.0,2.999578289903022,8.997469917257538
1.001169610855583,5.0,3.998830389144417,15.990644481144889
1.000028971304933,2.0,0.9999710286950669,0.9999420582294704
1.0014941388508254,5.0,3.998505861149175,15.988049121644304
1.0011756903532416,5.0,3.9988243096467584,15.990595859421873
0.9998383215096184,2.0,1.0001616784903815,1.0003233831206972
0.9992195647933448,1.0,0.0007804352066551612,6.090791117868841e-07
0.9999415760502216,2.0,1.0000584239497785,1.0001168513129148
1.0005079711016507,5.0,3.9994920288983495,15.995936489221437
1.0011457078897985,4.0,2.9988542921102015,8.993127065307778
0.999836684098499,1.0,0.00016331590150098219,2.6672083683078516e-08
1.0005896263813179,5.0,3.999410373618682,15.995283336608725
1.0002469742922258,4.0,2.9997530257077742,8.998518215242946
1.0013799859226058,4.0,2.998620014077394,8.991721988825512
1.0004298978155735,4.0,2.9995701021844265,8.997420797918691
0.9999076955977444,3.0,2.000092304402256,4.000369226129126
1.0026425362239,5.0,3.9973574637761002,15.978866693206497
1.001162036472232,5.0,3.9988379635277678,15.990705058550905
1.00089991074508,4.0,2.99910008925492,8.99460134536887
1.000667533655828,5.0,3.999332466344172,15.994660176354557
1.000867215114141,5.0,3.999132784885859,15.993063031148925
